game_id,date,league_name,series_name,tournament_name,player_name,team_name,team_acronym,role,champion_name,primary_tag,tags,win,game_length,player_kills,player_deaths,player_assists,total_minions_killed,gold_earned,total_damage_dealt_to_champions,team_kills,kda,cs_per_min,dmg_per_min,gold_per_min,kp,performance_index
30360,2024-01-25 08:01:21.164081,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,LeBlanc,Assassin,"Assassin, Mage",True,1558,5,1,5,267,11549,19647,15,10.0,10.282413350449294,756.6238767650835,444.76251604621314,0.6666666666666666,0.46287241749260993
30361,2024-01-25 08:49:00.454739,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Kassadin,Assassin,"Assassin, Mage",True,1561,12,0,1,257,13978,23371,17,13.0,9.878283151825753,898.3087764253684,537.2709801409353,0.7647058823529411,0.954792353969228
30362,2024-01-25 10:30:54.367809,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Corki,Marksman,Marksman,True,1902,5,2,8,338,17960,34622,16,6.5,10.662460567823343,1092.1766561514196,566.5615141955836,0.8125,1.1278844664656709
30363,2024-01-25 11:22:15.660670,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Jayce,Fighter,"Fighter, Marksman",True,1657,10,1,4,284,15383,32345,24,14.0,10.283645141822571,1171.2130356065177,557.0187085093543,0.5833333333333334,1.1428666180485887
30364,2024-01-26 08:01:03.272824,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Taliyah,Mage,"Mage, Support",True,2130,2,2,8,320,13146,15613,18,5.0,9.014084507042254,439.80281690140845,370.3098591549296,0.5555555555555556,-0.44608854236013046
30364,2024-01-26 08:01:03.272824,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Azir,Mage,"Mage, Marksman",False,2130,2,2,3,326,13759,14046,13,2.5,9.183098591549296,395.6619718309859,387.5774647887324,0.38461538461538464,-0.9929293892855151
30365,2024-01-26 08:59:56.474588,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Akali,Assassin,Assassin,False,1271,3,4,2,160,8039,11253,6,1.25,7.553107789142407,531.219512195122,379.49645948072384,0.8333333333333334,-0.8079012456483968
30365,2024-01-26 08:59:56.474588,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Corki,Marksman,Marksman,True,1271,5,0,11,170,9670,20844,23,16.0,8.025177025963808,983.9811172305272,456.49095200629426,0.6956521739130435,0.5358963086067331
30366,2024-01-26 09:43:08.940062,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Azir,Mage,"Mage, Marksman",False,1751,0,2,0,264,9757,10366,2,0.0,9.046259280411194,355.20274129069105,334.334665905197,0.0,-1.6266599763375869
30366,2024-01-26 09:43:08.940062,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Orianna,Mage,"Mage, Support",True,1751,7,0,7,287,14638,21730,16,14.0,9.83438035408338,744.6030839520274,501.5876641918903,0.875,0.8676652633866633
31269,2024-01-26 11:23:28.827510,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Neeko,Mage,"Mage, Support",True,1915,4,2,8,259,13616,14692,23,6.0,8.114882506527415,460.3237597911227,426.61096605744126,0.5217391304347826,-0.4090975917131486
31270,2024-01-26 12:21:32.955355,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Akali,Assassin,Assassin,True,2244,7,2,4,316,16371,27128,14,5.5,8.449197860962567,725.3475935828877,437.72727272727275,0.7857142857142857,0.09029378872824857
30370,2024-01-27 06:01:51.338377,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,K'Sante,Tank,"Tank, Fighter",False,2224,3,6,2,331,15122,15241,7,0.8333333333333334,8.929856115107913,411.1780575539568,407.96762589928056,0.7142857142857143,-0.7208736070884401
30370,2024-01-27 06:01:51.338377,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Sylas,Mage,"Mage, Assassin",True,2224,5,0,7,356,17956,18219,17,12.0,9.60431654676259,491.51978417266184,484.4244604316546,0.7058823529411765,0.3782851826582982
30371,2024-01-27 07:04:25.740410,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Jayce,Fighter,"Fighter, Marksman",True,2552,3,1,3,403,19109,30728,11,6.0,9.474921630094045,722.4451410658307,449.27115987460814,0.5454545454545454,0.08084448045966197
30371,2024-01-27 07:04:25.740410,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Syndra,Mage,"Mage, Support",False,2552,4,2,2,356,16508,26089,8,3.0,8.369905956112852,613.3777429467085,388.11912225705333,0.75,-0.612457468513401
30372,2024-01-27 08:09:23.775291,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Tristana,Marksman,"Marksman, Assassin",True,1773,4,0,2,361,15800,17497,14,6.0,12.2165820642978,592.1150592216582,534.6869712351946,0.42857142857142855,0.551543250751485
30372,2024-01-27 08:09:23.775291,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Azir,Mage,"Mage, Marksman",False,1773,1,2,2,277,10773,13661,4,1.5,9.37394247038917,462.3011844331641,364.56852791878174,0.75,-0.682668705552545
31015,2024-01-27 19:03:19.487488,LEC,LEC Winter 2024,Regular Season,Caps,G2 Esports,G2,Mid,LeBlanc,Assassin,"Assassin, Mage",True,1580,4,1,0,283,13797,18778,10,4.0,10.746835443037975,713.0886075949368,523.9367088607595,0.4,0.2865363738140304
30378,2024-01-28 09:37:12.876320,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Neeko,Mage,"Mage, Support",True,2173,4,2,7,308,15274,21439,15,5.5,8.504371836171192,591.9650253106304,421.73953060285316,0.7333333333333333,-0.0912062699994421
30379,2024-01-28 10:35:39.146294,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Orianna,Mage,"Mage, Support",True,1689,5,2,8,237,12652,20625,18,6.5,8.419182948490231,732.6820603907638,449.449378330373,0.7222222222222222,0.10025888789096175
31019,2024-01-28 18:22:35.619723,LEC,LEC Winter 2024,Regular Season,Caps,G2 Esports,G2,Mid,Akali,Assassin,Assassin,True,2380,9,3,9,353,18649,29108,29,6.0,8.899159663865547,733.8151260504202,470.14285714285717,0.6206896551724138,0.12636641312357058
31287,2024-01-29 11:13:44.864000,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Syndra,Mage,"Mage, Support",True,2259,8,1,8,345,17864,25071,18,16.0,9.163346613545817,665.8964143426296,474.4754316069057,0.8888888888888888,0.7077250892206383
31288,2024-01-29 12:12:10.997000,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Neeko,Mage,"Mage, Support",True,1600,6,4,8,206,12346,19334,16,3.5,7.725,725.025,462.97499999999997,0.875,0.062257940691730074
31026,2024-01-29 18:49:59.500944,LEC,LEC Winter 2024,Regular Season,Caps,G2 Esports,G2,Mid,LeBlanc,Assassin,"Assassin, Mage",True,1676,3,2,2,264,11584,12936,18,2.5,9.45107398568019,463.1026252983294,414.7016706443914,0.2777777777777778,-0.5696168683521995
30380,2024-01-31 08:01:13.743000,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,LeBlanc,Assassin,"Assassin, Mage",False,2316,3,1,3,359,14830,35840,6,6.0,9.300518134715025,928.4974093264249,384.1968911917098,1.0,0.07859928538216177
30381,2024-01-31 09:02:47.929000,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Tristana,Marksman,"Marksman, Assassin",False,1900,2,2,1,313,12694,9616,4,1.5,9.884210526315789,303.66315789473686,400.86315789473684,0.75,-0.6155511243423196
30382,2024-01-31 10:47:15.761475,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Corki,Marksman,Marksman,True,1897,7,1,6,348,17312,24270,15,13.0,11.006852925672113,767.6331049024776,547.5593041644702,0.8666666666666667,1.1574776954687953
30383,2024-01-31 11:39:54.148388,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Taliyah,Mage,"Mage, Support",True,1690,4,0,16,271,12957,18634,23,20.0,9.621301775147929,661.5621301775147,460.0118343195266,0.8695652173913043,0.8515407702463716
30384,2024-02-01 08:00:58.182000,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Orianna,Mage,"Mage, Support",True,1745,2,2,10,259,12769,16540,17,6.0,8.9054441260745,568.7106017191977,439.0487106017192,0.7058823529411765,-0.004370521220963763
30385,2024-02-01 08:50:54.449388,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Neeko,Mage,"Mage, Support",True,1439,3,1,0,224,10499,10175,13,3.0,9.339819318971507,424.2529534398888,437.7623349548297,0.23076923076923078,-0.5757005340835232
