game_id,player_id,player_name,team_name,team_acronym,role,champion_name,win,game_length,player_kills,player_deaths,player_assists,total_minions_killed,gold_earned,total_damage_dealt_to_champions,team_kills
30466,5,ShowMaker,Dplus KIA,DK,Mid,Karma,1,3285,4,5,7,348,18963,39706,14
30467,1,Bdd,KT Rolster,KT,Mid,Taliyah,1,1876,9,2,7,287,15501,31068,21
30467,5,ShowMaker,Dplus KIA,DK,Mid,Karma,0,1876,1,6,5,206,9758,15505,10
30468,1,Bdd,KT Rolster,KT,Mid,Tristana,0,3100,4,3,3,508,23906,30504,9
30468,5,ShowMaker,Dplus KIA,DK,Mid,Azir,1,3100,6,2,4,383,21022,25492,16
31442,6,knight,Bilibili Gaming,BLG,Mid,Taliyah,1,2219,6,2,11,340,16657,21029,21
31443,6,knight,Bilibili Gaming,BLG,Mid,Neeko,1,2103,3,2,12,252,13172,23300,17
30474,3,Chovy,Gen.G,GEN,Mid,Taliyah,1,1804,2,0,7,311,13057,25214,12
30475,3,Chovy,Gen.G,GEN,Mid,Ahri,1,1687,3,2,8,264,12422,21262,13
30476,4,Faker,T1,T1,Mid,Taliyah,1,1749,4,3,11,259,13702,14669,25
30477,4,Faker,T1,T1,Mid,Taliyah,1,1502,6,1,12,241,12120,25265,34
30478,1,Bdd,KT Rolster,KT,Mid,Orianna,1,2536,1,1,14,363,16989,26673,17
30479,1,Bdd,KT Rolster,KT,Mid,Orianna,1,2174,2,0,9,290,14398,18138,16
31459,6,knight,Bilibili Gaming,BLG,Mid,Ahri,1,1706,7,1,8,284,15114,20164,24
30482,5,ShowMaker,Dplus KIA,DK,Mid,Taliyah,1,2434,4,5,7,328,15106,19730,18
31460,6,knight,Bilibili Gaming,BLG,Mid,Karma,1,1533,2,1,18,207,11428,23619,23
30483,5,ShowMaker,Dplus KIA,DK,Mid,Aurelion Sol,1,1982,8,0,4,314,15678,34158,13
30484,3,Chovy,Gen.G,GEN,Mid,Corki,1,1615,7,0,2,292,13831,21069,13
30484,4,Faker,T1,T1,Mid,LeBlanc,0,1615,0,2,0,240,8840,11082,0
30485,3,Chovy,Gen.G,GEN,Mid,Ahri,1,1886,3,1,6,312,13990,20684,16
30485,4,Faker,T1,T1,Mid,Taliyah,0,1886,2,3,3,280,11275,16793,7
32571,2,Caps,G2 Esports,G2,Mid,Ahri,1,2297,4,2,14,336,16927,26526,22
31469,6,knight,Bilibili Gaming,BLG,Mid,Neeko,1,1526,3,1,9,219,11038,18314,23
31470,6,knight,Bilibili Gaming,BLG,Mid,Ahri,1,1703,11,0,7,265,14777,24546,20
30488,1,Bdd,KT Rolster,KT,Mid,Corki,1,1591,5,3,5,240,11745,17653,13
30489,1,Bdd,KT Rolster,KT,Mid,Taliyah,0,1995,2,3,5,292,12469,18918,9
30490,1,Bdd,KT Rolster,KT,Mid,Taliyah,1,1867,0,0,18,272,12618,19427,21
30491,5,ShowMaker,Dplus KIA,DK,Mid,Karma,0,2333,2,4,1,294,12802,17136,7
30492,5,ShowMaker,Dplus KIA,DK,Mid,Karma,1,1733,10,0,4,293,15374,18846,16
30493,5,ShowMaker,Dplus KIA,DK,Mid,LeBlanc,1,2365,2,0,4,302,14709,21487,9
32578,2,Caps,G2 Esports,G2,Mid,Neeko,1,1688,4,0,3,263,12366,12780,14
32583,2,Caps,G2 Esports,G2,Mid,Neeko,1,1815,2,2,6,290,12726,12445,11
30497,4,Faker,T1,T1,Mid,Taliyah,1,2159,4,1,10,325,16131,15607,14
30497,5,ShowMaker,Dplus KIA,DK,Mid,Karma,0,2159,2,4,1,262,11883,16610,6
30498,4,Faker,T1,T1,Mid,Ahri,1,2292,6,4,10,295,16224,24450,20
30498,5,ShowMaker,Dplus KIA,DK,Mid,Annie,0,2292,4,5,9,277,14281,26219,15
31490,6,knight,Bilibili Gaming,BLG,Mid,Karma,1,1888,1,1,3,296,12491,15262,11
31491,6,knight,Bilibili Gaming,BLG,Mid,Neeko,1,1938,2,2,9,266,12369,19054,17
30501,1,Bdd,KT Rolster,KT,Mid,Karma,1,1448,1,2,13,182,9011,18725,17
30502,1,Bdd,KT Rolster,KT,Mid,Corki,1,2556,6,3,12,429,21796,49009,26
30503,3,Chovy,Gen.G,GEN,Mid,Kassadin,1,1909,6,0,3,377,17942,25263,10
30504,3,Chovy,Gen.G,GEN,Mid,Taliyah,1,1936,5,4,10,298,14695,22162,19
30505,4,Faker,T1,T1,Mid,Annie,0,1857,2,2,1,249,10643,13019,8
30506,4,Faker,T1,T1,Mid,Taliyah,1,1992,4,2,10,318,15763,24085,19
30507,4,Faker,T1,T1,Mid,Ahri,0,1891,5,3,1,247,11529,18605,9
30511,1,Bdd,KT Rolster,KT,Mid,Annie,1,1606,4,1,10,211,11271,20848,15
30512,1,Bdd,KT Rolster,KT,Mid,Orianna,0,2399,5,4,5,387,17448,26953,11
31509,6,knight,Bilibili Gaming,BLG,Mid,Taliyah,1,1719,6,1,9,279,13700,16328,23
30513,1,Bdd,KT Rolster,KT,Mid,Syndra,1,1907,8,1,4,301,15070,21117,19
31510,6,knight,Bilibili Gaming,BLG,Mid,Ahri,1,1852,8,1,6,270,13803,24926,22
32586,2,Caps,G2 Esports,G2,Mid,Ahri,1,1792,4,0,6,307,13635,17441,13
30517,3,Chovy,Gen.G,GEN,Mid,Corki,0,1934,4,5,4,337,16360,29616,8
30517,5,ShowMaker,Dplus KIA,DK,Mid,Annie,1,1934,2,2,11,272,14706,23381,21
30518,3,Chovy,Gen.G,GEN,Mid,Taliyah,1,2187,1,2,3,341,15651,16814,11
30518,5,ShowMaker,Dplus KIA,DK,Mid,Annie,0,2187,1,2,2,231,11334,16762,4
30519,3,Chovy,Gen.G,GEN,Mid,Tristana,1,2558,9,3,3,462,22504,31673,16
30519,5,ShowMaker,Dplus KIA,DK,Mid,Annie,0,2558,1,4,7,249,13322,23309,14
32593,2,Caps,G2 Esports,G2,Mid,Ahri,0,2022,0,3,5,310,11673,14480,6
32596,2,Caps,G2 Esports,G2,Mid,Karma,1,1656,1,2,10,228,10200,20036,17
30520,3,Chovy,Gen.G,GEN,Mid,Yone,1,1500,2,1,1,267,10467,8841,14
30521,3,Chovy,Gen.G,GEN,Mid,Orianna,1,1795,3,2,7,315,13678,24261,18
30522,4,Faker,T1,T1,Mid,Orianna,1,1379,4,4,12,202,11234,20891,21
31529,6,knight,Bilibili Gaming,BLG,Mid,LeBlanc,1,1450,8,0,1,218,13679,21749,18
30523,4,Faker,T1,T1,Mid,Taliyah,1,2964,6,3,6,431,23017,20528,22
31530,6,knight,Bilibili Gaming,BLG,Mid,Taliyah,0,1929,2,3,5,273,12772,30114,9
31531,6,knight,Bilibili Gaming,BLG,Mid,Karma,1,1564,8,1,5,230,12486,18979,21
30524,1,Bdd,KT Rolster,KT,Mid,Taliyah,1,2440,7,1,13,308,17115,40041,23
30525,1,Bdd,KT Rolster,KT,Mid,Annie,0,1950,2,3,4,240,10948,20211,6
30526,1,Bdd,KT Rolster,KT,Mid,Ahri,0,1555,5,4,0,235,10463,22161,6
30527,5,ShowMaker,Dplus KIA,DK,Mid,Tristana,0,2199,5,4,6,328,15994,25161,19
30528,5,ShowMaker,Dplus KIA,DK,Mid,Tristana,0,2095,0,1,0,374,13910,8254,2
30529,3,Chovy,Gen.G,GEN,Mid,Sylas,1,1636,6,1,9,261,13939,15256,23
30530,3,Chovy,Gen.G,GEN,Mid,Aurelion Sol,1,1951,8,3,10,309,15843,33053,24
32601,2,Caps,G2 Esports,G2,Mid,Annie,1,1688,4,1,9,223,11555,17318,15
30534,5,ShowMaker,Dplus KIA,DK,Mid,Ahri,0,1955,2,4,3,269,12478,16395,8
30535,5,ShowMaker,Dplus KIA,DK,Mid,Taliyah,0,1999,2,3,4,312,12395,21776,9
30536,4,Faker,T1,T1,Mid,Hwei,1,1574,2,3,4,227,10552,17090,14
30537,4,Faker,T1,T1,Mid,Corki,1,1806,2,0,7,298,13781,21732,13
31545,6,knight,Bilibili Gaming,BLG,Mid,Ahri,1,1987,7,1,7,282,14925,24887,23
31546,6,knight,Bilibili Gaming,BLG,Mid,Ahri,1,1735,3,0,6,260,11526,17406,11
32607,2,Caps,G2 Esports,G2,Mid,Karma,0,2226,1,3,1,294,12730,16445,6
30540,1,Bdd,KT Rolster,KT,Mid,Syndra,1,1694,8,1,13,241,13281,23069,28
30541,1,Bdd,KT Rolster,KT,Mid,Taliyah,1,1851,6,3,10,264,13172,24589,26
32612,2,Caps,G2 Esports,G2,Mid,Ahri,0,1603,2,3,3,244,9910,10798,7
32936,1,Bdd,KT Rolster,KT,Mid,Corki,0,2302,3,3,2,346,15844,27520,7
32936,5,ShowMaker,Dplus KIA,DK,Mid,Azir,1,2302,1,1,6,334,14530,23830,13
