feature,importance_mean,importance_std,target,target_label,best_model
num__player_prev_mean_gold_per_min,0.1923234483646643,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__pre_diversity_unique_window,0.1689746747549142,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Ziggs,0.16501992255018055,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Nasus,0.16473329102750386,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_prev_mean_win,0.1536238673428484,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Ezreal,0.13826448801464875,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__player_name_Bdd,0.13138051440262283,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__team_name_KT Rolster,0.13138051440262283,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Corki,0.12948373236461375,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_last5_mean_dmg_per_min,0.1287840613074556,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__pre_perf_std_window,0.12450518009610659,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_last5_mean_kda,0.10844364840758111,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Caitlyn,0.10437315162630348,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Azir,0.10220799299107132,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__new_champion_for_player_patch,0.09105388264147583,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__champ_used_pre_window,0.09105388264147583,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_champ_prev_games,0.07164339513754713,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Akali,0.06948703955015399,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_last5_mean_performance_index,0.05448890889250903,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_prev_mean_performance_index,0.04911830770923204,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_LeBlanc,0.04045515218637213,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__patch_14.5,0.039821196515852815,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__team_name_G2 Esports,0.03948617549133558,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__player_name_Caps,0.03948617549133558,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Lucian,0.0232188236459919,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_last5_mean_kp,0.017872916433995464,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_prev_mean_kda,0.014688326271959195,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__pre_champ_games_window,0.009942305062750142,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_prev_mean_dmg_per_min,0.007732801698095804,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Sylas,0.004735604472996463,0.0,high_performance_match,High-performance post-patch match,logistic_regression
